PFTDPW,POMCPOW
-14.461879003547988,-0.8338590849833288
-0.6754258588364964,-17.32730510422426
-1.7433922005000007,-14.594838519983332
-9.833550172564262,-21.804012836483334
-5.963665481638047,-17.014342526985
-26.518847963753494,-29.31273212416124
-19.231148742493506,-7.459170829587733
-11.695192494098334,-23.18837172242349
-12.24668149708424,-29.006049008115006
-0.9265100944259209,-7.174453500000002
-8.32848257650949,-3.5031877676729932
-12.464056945956576,-9.224911068744152
-25.246798859164507,-22.30547408498333
-3.050861751122742,-27.998797524928243
-19.92442706543333,-19.72577249191515
-9.034259435483333,-19.533518244425924
-25.390944143249225,-23.603512227948748
-10.878295908231381,-2.9524500000000007
-20.500690621485,-2.1523360500000006
-3.6450000000000005,-6.368866981419737
-20.759106019637752,-16.055383618088328
-19.160105438458245,-16.689282914164504
-10.172499163824739,-13.727992198736919
-15.530900350500005,-19.802205
-15.467994594425923,-3.838840157904732
-10.108261397073154,-10.838020711859992
-25.937864068009496,-12.223913721095915
-12.205932914164503,-17.961307335
-13.953116753450999,-12.820322895456579
-10.203842490212763,-19.532925683096227
-16.136631407670077,-13.171963045149827
-15.091973176484998,-14.733740885151832
-8.16435908498333,-13.19931430092165
-17.317887480450004,-30.732811088723242
-17.896479435000003,-31.918399396869738
-24.492926226271265,-28.804759444727484
-23.60312677274806,-16.104600827985
-10.102008150000003,-12.397487305153053
-22.20262202680274,-19.596329188942267
-8.200400350500004,-3.838840157904732
-22.012029121485,-14.428623150000005
-29.300679025771267,-13.31007462463775
-2.9524500000000007,0.0
-30.436201177023158,-14.341500000000002
-4.395473176484996,-14.518715094425925
-28.565396235398236,-47.97112878671348
-11.687184751500006,-20.228097604022995
-14.8678530088365,-23.71551028915507
-12.533513636758492,-7.659608941350003
-11.333154812732753,-18.954316037419428
-9.888906864324738,-18.852422482215005
-11.123120471333332,-13.357350000000002
-7.334968600647832,-19.044061724153494
-12.813757335000004,-18.945573929479487
-13.604902294925925,-6.2627206237244915
-0.750473176484996,-21.12796261411449
-18.485381519309744,-7.516943047215003
-12.342256385151831,-24.642645283277766
-12.569957683843505,-9.786383389753642
-6.688178176484997,-14.548658941350004
-30.054387150000007,-3.6419839643097425
-13.085720558786486,-13.178192736534536
-26.950385817776755,-3.6624174141645014
-11.702314102388332,-10.22303452945499
-19.29733605,-11.293741474069492
-10.351456613786484,-3.9233699060258136
-18.826657634177483,-36.549886181863066
-15.77725440296675,-21.515953500000002
-22.09501659108127,-13.328250382215003
-1.2709329141645007,-5.217977634928234
-4.236443047215002,-4.707158941350002
-1.2709329141645007,-4.551808104092734
-11.993836050000002,-25.880726974454994
-2.887231823248051,-15.437102445
-30.92367403244227,-23.239445249164504
-5.498437066549879,-24.027256754946382
-7.324280775137748,-15.278235283277766
-16.7080353591645,-1.7433922005000007
-9.948013074875924,-9.614644557929225
-37.760567206935,-5.775942602904733
-16.803913304949987,-13.553431849092734
-32.87869971717397,-8.80114660540965
-17.572094107303506,-16.757486883698334
-27.35062364092325,-14.626903500000003
-8.6470408588365,-9.034259435483333
-6.279928836958241,-7.862798742493503
-6.547809226484997,-7.10097250990499
-4.050000000000001,-19.789090962638237
-16.015045492215005,-20.019911603900834
-2.919904698122994,-7.472177965682764
-21.951047691516834,-35.25579372919775
-19.565528847375816,-11.839006042731382
-4.438679699949987,-38.97212935042273
-18.754390590649496,-25.47572324442593
-9.383762682405003,-2.5015772549499866
-8.875176601500002,-11.252115000000003
-28.524549008115002,-32.28065906800949
-18.937645632978967,-18.269404336295334
-11.001109515664503,-20.74861446697192
-9.592673145253642,-14.755472509904992
-7.645435353340412,-16.302954472169702
-20.67716384592593,-2.1523360500000006
-7.3875672837885,-26.354687245186504
-24.9553197237,-14.528627576509493
-28.985903312732752,-15.821335247715005
-24.60436201695151,-13.085913000409649
-6.457008150000003,-11.688893047215004
-22.592803500000006,-9.250773522826046
-20.398392144236485,-5.3686213132441525
-3.919137699421646,-6.8267917104732465
-4.889552445000001,-22.753884696573152
-16.180973176484997,-10.238237915423234
-16.03765441375799,-9.70400446614
-7.585324122748052,-5.230176601500002
-6.069052980450001,-18.229803249257543
-23.434366191173996,-0.9265100944259209
-5.583854918244152,-11.926595498427057
-14.637923176485,-2.6572050000000007
-8.312884589949988,-3.9060130593899975
-10.717731364286484,-33.830865945000006
-8.697899124875924,-18.239308836919424
-10.622739277169991,-11.628311529983332
-10.46872729686974,-15.676876156935
-25.54241673907364,-28.363137914164504
-32.96654925267398,-9.984232079479483
-8.630589696573153,-1.1438396227480505
-3.29721049067399,-10.401384641285913
-28.911993497844154,-24.636016550649156
-6.765248742493503,-21.994928170378234
-1.0294556604732454,-13.887450000000003
-30.105349717173976,-13.351466386350005
-17.20675638515183,-17.890146957748055
-2.3914845000000007,-9.841500000000002
