PFTDPW,POMCPOW
-2.5985086409232463,-17.75702431641974
-2.4416033428782464,0.0
-16.393743433277766,-11.403133868244154
-10.272157888273489,-13.893392200500001
-3.812798742493502,-10.454953500000002
-4.244969455449987,-10.480649777984999
-27.221676601500004,-2.0262775765094894
-7.600847772748053,-3.0883669814197363
-8.02235244361949,-25.047371021804995
-14.109446415459153,-28.74824516962777
-17.397655425450004,-1.4121476824050008
-12.582618295097738,-23.02567718577593
-8.305969426419738,-13.642544622748053
-23.787578313359994,-7.109929624637748
-7.3620312819582425,-6.829530283277764
-20.30652138210863,-11.272654156859991
-14.099211364454991,-27.769907200500008
-6.051461529983331,-30.407808559904993
-9.280176601500003,-3.0883669814197363
-26.20911763469983,-22.20180213219833
-7.780500000000001,-1.8633147454565742
-17.131500000000003,-2.6572050000000007
-12.562845700500002,-29.114922711492817
-14.231247261973252,-11.621428836958243
-17.06537962388091,-5.529455660473245
-13.5,-8.159812953240815
-12.205932914164503,-16.2357507237
-19.397282306285913,-1.4121476824050008
-7.174453500000002,-18.445618739392646
-21.03851363675849,-39.19770107947949
-8.976484961377421,-12.905016479476238
-16.348296582510812,-11.645738268677485
-6.712018868244153,-3.812798742493502
-18.73084472004804,-27.159976257773238
-7.076518868244152,-18.357921848694154
-18.528978429236492,-6.1795574436194896
-21.364040101500006,-30.938112005486325
-18.30954105,-10.232058751149154
-14.340481981419739,-29.082750382215007
-8.63213022865897,-12.244755632198332
-15.674152694417764,-6.437102445000001
-22.34210169925754,-14.971694767169701
-17.380176601500004,-21.394285953262425
-28.3244535,-23.217045283277766
-22.576402980450002,-0.750473176484996
-10.217621767388332,-19.582040858836503
-4.050000000000001,-21.99122175880351
-15.8914845,-2.95278767093541
-23.289480489040425,-2.3914845000000007
-7.0159733304927645,-26.746848909787253
-24.881647141098327,-3.5626576820845473
-11.299262552966752,-2.779530283277763
-14.438187767672996,-8.797680061383154
-32.570379121485004,-13.384998631295332
-1.5690529804500009,-4.222685767173972
-7.99106408498333,-4.348583263727764
-3.820472509904989,-16.615674655809077
-11.132240249164504,-18.44169988880183
-17.890996444914144,-8.96919499067399
-11.164167091350006,-26.21547152633333
-23.615979435000003,-21.50831258498333
-24.435000000000002,-10.935000000000002
-11.986975626613246,-12.166487244425927
-30.948187618277768,-4.805807859787253
-21.82309613095499,-10.262820481419737
-16.764082953227483,-2.6875756214849966
-27.050306892493506,-5.745571981419737
-15.947136091350007,-20.325458529425926
-22.215215659022995,-7.190609937482736
-9.513111276830925,-1.5092849438198253
-18.43834602653923,-39.18361811378649
-15.435867234983332,-3.4384252589144904
-21.47190137769804,-4.050000000000001
-46.17371256706627,-8.193943342350003
-8.75942583185114,-20.884395568880915
-7.542223630075419,-27.82738134686648
-16.62784079473876,-3.4232689641645013
-1.8633147454565742,-12.022559359260981
-21.398016568880916,-15.334869432023993
0.0,-13.462796413727768
-13.656063830151833,-2.1523360500000006
-2.4938653769849966,-1.8943127992330466
-21.16077335515305,-20.73537736275725
-7.951035108853794,-2.1523360500000006
-20.98829060591092,-7.272847860973246
-33.48983795976276,-26.311653751500007
-5.4328360500000015,-21.378191290921652
-8.026061130450003,-10.802205
-13.938604280954994,-10.912516111262763
-2.3914845000000007,-22.8933922005
-9.114213150000003,-29.343943342350002
-13.515497625739563,-23.30233605
-11.927276140607542,-11.137094107303504
-3.280500000000001,-11.252115000000003
-15.376933773724495,-13.847388903986323
-3.7213890304500015,-13.169027018244154
-16.568669035775926,-19.468350000000004
-5.214052980450001,-9.953983783277765
-9.572240748122995,-9.104131646714743
-22.482337618277764,-20.001109515664503
-2.827761908836497,-14.884977150000005
0.0,-19.63646381047325
-8.16435908498333,-6.060030283277763
-7.814865949921646,-6.583760272476832
-1.4121476824050008,-8.70842767945499
-26.98548002483489,-12.615252039534742
-13.74155440494999,-10.811600894614504
-7.364363941350003,-1.0294556604732454
-13.161695469744153,-7.0159733304927645
-18.93283605,-4.527854831459476
-1.7433922005000007,-8.978859084983329
-19.732680061383157,-17.881973176484998
-17.661323575609646,-8.89861149287825
-20.974857263764886,-12.908106225380912
-11.245847772748053,-12.208058047215005
-26.76675385644999,-18.035786909115007
-12.98385908498333,-13.755481819172998
-13.7041885412415,-12.983457676485
-8.077665519875923,-2.244478839286497
-10.768010094425923,-32.30529317749351
-29.283014675627765,-2.772847860973246
-16.470450152530653,-19.241849190514504
-21.339110841173994,-0.8338590849833288
-14.143035359164504,-18.850194300514506
-25.962608826830923,-10.130853129597833
-28.148186695925926,-30.453039534257545
-21.661382006221263,-46.20974531862674
-29.082773215709256,-27.34985415202314
-16.016426729954993,-12.554997794301833
-18.111684440834228,-6.501109515664503
-15.991518138375818,-5.436735283277764
-12.228501472575065,-8.057573720935412
-30.187990224875925,-17.928316818430655
-9.52950851254598,-21.498187618277765
